YEAR_MONTH,MAX_VERSION_PREFIX,MAU
2024-10,0.17,1
2024-10,0.18,117
2024-10,0.19,703
2024-11,0.17,2
2024-11,0.18,123
2024-11,0.19,775
2024-12,0.17,1
2024-12,0.18,129
2024-12,0.19,731
2025-01,0.18,127
2025-01,0.19,870
2025-02,0.17,1
2025-02,0.18,113
2025-02,0.19,894
2025-03,0.18,110
2025-03,0.19,1010
2025-04,0.18,119
2025-04,0.19,1088
2025-05,0.18,115
2025-05,0.19,1136
2025-06,0.17,2
2025-06,0.18,109
2025-06,0.19,1183
2025-06,1.0.,8
2025-07,0.17,2
2025-07,0.18,111
2025-07,0.19,1176
2025-07,1.0.,101
2025-08,0.17,1
2025-08,0.18,87
2025-08,0.19,943
2025-08,1.0.,322
2025-09,0.17,1
2025-09,0.18,79
2025-09,0.19,872
2025-09,1.0.,443
2025-10,0.17,1
2025-10,0.18,78
2025-10,0.19,839
2025-10,1.0.,594
2025-11,0.17,1
2025-11,0.18,85
2025-11,0.19,732
2025-11,1.0.,621
2025-11,1.1.,44
2025-12,0.17,1
2025-12,0.18,63
2025-12,0.19,543
2025-12,1.0.,365
2025-12,1.1.,146
