YEAR_MONTH,FIRST_TWO_WORDS,UNIQUE_USERS
2024-10,kedro run,588
2024-10,kedro viz,289
2024-10,kedro new,281
2024-10,kedro pipeline,181
2024-10,kedro jupyter,113
2024-10,kedro ipython,80
2024-10,kedro package,31
2024-11,kedro run,607
2024-11,kedro viz,282
2024-11,kedro new,275
2024-11,kedro pipeline,200
2024-11,kedro jupyter,102
2024-11,kedro ipython,93
2024-11,kedro package,28
2024-12,kedro run,565
2024-12,kedro viz,246
2024-12,kedro new,234
2024-12,kedro pipeline,151
2024-12,kedro jupyter,99
2024-12,kedro ipython,82
2024-12,kedro package,22
2025-01,kedro run,659
2025-01,kedro viz,303
2025-01,kedro new,275
2025-01,kedro pipeline,182
2025-01,kedro jupyter,101
2025-01,kedro ipython,73
2025-01,kedro package,28
2025-02,kedro run,655
2025-02,kedro viz,294
2025-02,kedro new,228
2025-02,kedro pipeline,203
2025-02,kedro jupyter,109
2025-02,kedro ipython,78
2025-02,kedro package,20
2025-03,kedro run,758
2025-03,kedro viz,350
2025-03,kedro new,320
2025-03,kedro pipeline,252
2025-03,kedro jupyter,135
2025-03,kedro ipython,86
2025-03,kedro package,22
2025-04,kedro run,802
2025-04,kedro new,320
2025-04,kedro viz,311
2025-04,kedro pipeline,235
2025-04,kedro jupyter,116
2025-04,kedro ipython,70
2025-04,kedro package,17
2025-05,kedro run,815
2025-05,kedro viz,364
2025-05,kedro new,334
2025-05,kedro pipeline,227
2025-05,kedro jupyter,100
2025-05,kedro ipython,74
2025-05,kedro package,25
2025-06,kedro run,835
2025-06,kedro viz,347
2025-06,kedro new,273
2025-06,kedro pipeline,228
2025-06,kedro jupyter,95
2025-06,kedro ipython,75
2025-06,kedro package,20
2025-07,kedro run,845
2025-07,kedro viz,321
2025-07,kedro new,285
2025-07,kedro pipeline,224
2025-07,kedro jupyter,96
2025-07,kedro ipython,77
2025-07,kedro package,25
2025-08,kedro run,784
2025-08,kedro viz,289
2025-08,kedro new,281
2025-08,kedro pipeline,220
2025-08,kedro jupyter,91
2025-08,kedro ipython,78
2025-08,kedro package,23
2025-09,kedro run,856
2025-09,kedro viz,292
2025-09,kedro new,269
2025-09,kedro pipeline,259
2025-09,kedro jupyter,107
2025-09,kedro ipython,84
2025-09,kedro package,27
2025-10,kedro run,808
2025-10,kedro viz,275
2025-10,kedro new,239
2025-10,kedro pipeline,213
2025-10,kedro jupyter,75
2025-10,kedro ipython,68
2025-10,kedro package,33
2025-11,kedro run,335
2025-11,kedro viz,78
2025-11,kedro new,52
2025-11,kedro pipeline,51
2025-11,kedro jupyter,27
2025-11,kedro ipython,17
2025-11,kedro package,9
