FIRST_YEAR_MONTH,MAX_VERSION_PREFIX,COUNT
2024-11,0.17,1
2024-11,0.18,44
2024-11,0.19,284
2024-12,0.17,1
2024-12,0.18,41
2024-12,0.19,237
2025-01,0.18,33
2025-01,0.19,278
2025-02,0.18,27
2025-02,0.19,266
2025-03,0.18,26
2025-03,0.19,328
2025-04,0.18,26
2025-04,0.19,313
2025-05,0.17,1
2025-05,0.18,23
2025-05,0.19,315
2025-06,0.17,1
2025-06,0.18,21
2025-06,0.19,297
2025-07,0.18,19
2025-07,0.19,295
2025-07,1.0.,27
2025-08,0.18,7
2025-08,0.19,166
2025-08,1.0.,134
2025-09,0.18,5
2025-09,0.19,176
2025-09,1.0.,152
2025-10,0.18,15
2025-10,0.19,172
2025-10,1.0.,210
2025-11,0.18,15
2025-11,0.19,149
2025-11,1.0.,202
2025-11,1.1.,6
2025-12,0.18,12
2025-12,0.19,112
2025-12,1.0.,58
2025-12,1.1.,78
2026-01,0.18,9
2026-01,0.19,100
2026-01,1.0.,53
2026-01,1.1.,88
2026-01,1.2.,4
2026-02,0.18,1
2026-02,0.19,29
2026-02,1.0.,15
2026-02,1.1.,7
2026-02,1.2.,8
